Date,Merchant,Category,Amount
2023-01-01,Aldi,grocery,97.2
2023-01-01,Lyft,transportation,36.39
2023-01-01,Radisson,hotel,348.74
2023-01-01,Chipotle,restaurant,53.39
2023-01-03,The Cheesecake Factory,restaurant,61.36
2023-01-05,Subway,restaurant,101.11
2023-01-08,Costco,grocery,222.14
2023-01-08,McDonald's,restaurant,147.29
2023-01-10,Starbucks,restaurant,27.75
2023-01-11,Olive Garden,restaurant,118.93
2023-01-13,Taco Bell,restaurant,121.72
2023-01-15,Target,grocery,113.2
2023-01-15,Lyft,transportation,26.24
2023-01-17,Olive Garden,restaurant,66.55
2023-01-18,Chick-fil-A,restaurant,124.13
2023-01-20,Starbucks,restaurant,86.59
2023-01-21,Starbucks,restaurant,142.35
2023-01-22,Walmart,grocery,224.93
2023-01-27,Subway,restaurant,116.02
2023-01-28,McDonald's,restaurant,16.35
2023-01-28,The Cheesecake Factory,restaurant,124.59
2023-01-28,Chick-fil-A,restaurant,59.36
2023-01-29,Whole Foods,grocery,243.17
2023-01-29,Shell Gas Station,transportation,35.12
2023-02-01,The Cheesecake Factory,restaurant,102.5
2023-02-02,Panera Bread,restaurant,23.82
2023-02-03,Olive Garden,restaurant,80.3
2023-02-03,Panera Bread,restaurant,139.22
2023-02-05,Target,grocery,139.61
2023-02-06,Red Lobster,restaurant,138.21
2023-02-07,McDonald's,restaurant,39.12
2023-02-08,Starbucks,restaurant,24.22
2023-02-09,Panera Bread,restaurant,30.56
2023-02-12,Target,grocery,127.51
2023-02-12,Metro Transit,transportation,80.07
2023-02-13,Starbucks,restaurant,115.3
2023-02-15,Red Lobster,restaurant,11.32
2023-02-15,Starbucks,restaurant,140.04
2023-02-16,Chipotle,restaurant,11.54
2023-02-19,Costco,grocery,246.69
2023-02-19,Panera Bread,restaurant,106.59
2023-02-19,Chipotle,restaurant,135.48
2023-02-20,McDonald's,restaurant,51.76
2023-02-24,The Cheesecake Factory,restaurant,83.61
2023-02-25,Holiday Inn,hotel,332.38
2023-02-26,Aldi,grocery,245.23
2023-02-26,Lyft,transportation,16.18
2023-02-26,Red Lobster,restaurant,90.65
2023-02-28,Taco Bell,restaurant,43.36
2023-03-04,Red Lobster,restaurant,146.86
2023-03-05,Target,grocery,188.09
2023-03-05,Subway,restaurant,41.68
2023-03-05,Panera Bread,restaurant,96.63
2023-03-08,Subway,restaurant,37.78
2023-03-09,Taco Bell,restaurant,67.67
2023-03-12,Trader Joes,grocery,123.5
2023-03-12,Amtrak,transportation,31.96
2023-03-15,Starbucks,restaurant,78.21
2023-03-17,Amtrak,transportation,386.53
2023-03-17,Panera Bread,restaurant,84.04
2023-03-17,Chick-fil-A,restaurant,19.84
2023-03-19,Safeway,grocery,90.62
2023-03-21,Chick-fil-A,restaurant,8.35
2023-03-22,Olive Garden,restaurant,143.82
2023-03-23,Red Lobster,restaurant,24.85
2023-03-26,Whole Foods,grocery,191.8
2023-03-26,76 Gas,transportation,68.86
2023-03-26,Taco Bell,restaurant,100.97
2023-04-01,McDonald's,restaurant,117.9
2023-04-01,Red Lobster,restaurant,39.94
2023-04-01,Starbucks,restaurant,131.49
2023-04-02,Whole Foods,grocery,241.27
2023-04-02,The Cheesecake Factory,restaurant,75.76
2023-04-03,Red Lobster,restaurant,78.6
2023-04-04,Red Lobster,restaurant,57.75
2023-04-06,McDonald's,restaurant,121.94
2023-04-09,Kroger,grocery,184.17
2023-04-09,Amtrak,transportation,80.56
2023-04-09,Red Lobster,restaurant,9.27
2023-04-12,Chick-fil-A,restaurant,119.08
2023-04-15,Taco Bell,restaurant,98.69
2023-04-16,Aldi,grocery,91.73
2023-04-16,Chipotle,restaurant,21.25
2023-04-17,Starbucks,restaurant,113.35
2023-04-21,Red Lobster,restaurant,25.74
2023-04-22,Holiday Inn,hotel,236.11
2023-04-22,McDonald's,restaurant,29.89
2023-04-23,Target,grocery,245.69
2023-04-23,76 Gas,transportation,84.59
2023-04-25,The Cheesecake Factory,restaurant,144.01
2023-04-27,Chipotle,restaurant,115.91
2023-04-29,Olive Garden,restaurant,108.83
2023-04-30,Whole Foods,grocery,139.67
2023-05-01,Olive Garden,restaurant,38.23
2023-05-01,McDonald's,restaurant,111.07
2023-05-05,Subway,restaurant,148.87
2023-05-06,Chipotle,restaurant,38.71
2023-05-07,Target,grocery,223.41
2023-05-07,Amtrak,transportation,35.49
2023-05-10,Taco Bell,restaurant,107.69
2023-05-11,Panera Bread,restaurant,96.61
2023-05-11,Chipotle,restaurant,75.38
2023-05-14,Target,grocery,123.82
2023-05-16,The Cheesecake Factory,restaurant,26.1
2023-05-17,Chick-fil-A,restaurant,118.24
2023-05-20,Chipotle,restaurant,136.07
2023-05-21,Walmart,grocery,181.3
2023-05-21,Chevron,transportation,40.52
2023-05-22,Olive Garden,restaurant,88.12
2023-05-24,Red Lobster,restaurant,10.8
2023-05-24,The Cheesecake Factory,restaurant,141.35
2023-05-26,Holiday Inn,hotel,258.76
2023-05-28,Aldi,grocery,210.43
2023-05-29,Panera Bread,restaurant,42.33
2023-06-02,Olive Garden,restaurant,67.48
2023-06-03,Starbucks,restaurant,145.05
2023-06-04,Whole Foods,grocery,181.52
2023-06-04,76 Gas,transportation,78.74
2023-06-04,Red Lobster,restaurant,128.49
2023-06-05,Chick-fil-A,restaurant,58.53
2023-06-07,Panera Bread,restaurant,64.84
2023-06-09,Panera Bread,restaurant,131.39
2023-06-11,Safeway,grocery,114.39
2023-06-11,The Cheesecake Factory,restaurant,15.62
2023-06-16,The Cheesecake Factory,restaurant,70.45
2023-06-17,Chipotle,restaurant,134.99
2023-06-18,Walmart,grocery,174.42
2023-06-18,Lyft,transportation,72.03
2023-06-19,Chick-fil-A,restaurant,65.33
2023-06-23,Olive Garden,restaurant,28.8
2023-06-24,Starbucks,restaurant,53.8
2023-06-25,Whole Foods,grocery,118.95
2023-06-25,The Cheesecake Factory,restaurant,99.17
2023-06-29,Subway,restaurant,43.12
2023-06-30,Chick-fil-A,restaurant,99.64
2023-07-02,Safeway,grocery,209.86
2023-07-02,Uber,transportation,78.88
2023-07-02,Olive Garden,restaurant,65.4
2023-07-04,Red Lobster,restaurant,21.19
2023-07-05,The Cheesecake Factory,restaurant,47.15
2023-07-06,Chipotle,restaurant,143.94
2023-07-09,Safeway,grocery,220.87
2023-07-11,Starbucks,restaurant,79.72
2023-07-12,Panera Bread,restaurant,62.5
2023-07-15,Olive Garden,restaurant,66.3
2023-07-16,Aldi,grocery,156.07
2023-07-16,BP Gas,transportation,53.03
2023-07-16,Sheraton,hotel,375.68
2023-07-16,Subway,restaurant,138.89
2023-07-17,Starbucks,restaurant,116.62
2023-07-18,Olive Garden,restaurant,74.71
2023-07-19,Starbucks,restaurant,54.74
2023-07-23,Walmart,grocery,232.55
2023-07-23,Chick-fil-A,restaurant,146.75
2023-07-24,Panera Bread,restaurant,141.54
2023-07-27,Panera Bread,restaurant,60.3
2023-07-28,Panera Bread,restaurant,31.12
2023-07-30,Safeway,grocery,116.74
2023-07-30,Chevron,transportation,34.28
2023-07-30,Starbucks,restaurant,8.13
2023-07-30,Subway,restaurant,144.6
2023-08-01,Subway,restaurant,128.73
2023-08-02,McDonald's,restaurant,109.32
2023-08-06,Aldi,grocery,194.34
2023-08-11,Chick-fil-A,restaurant,113.41
2023-08-11,Chick-fil-A,restaurant,84.42
2023-08-11,Starbucks,restaurant,144.67
2023-08-13,Walmart,grocery,131.47
2023-08-13,76 Gas,transportation,31.66
2023-08-14,Subway,restaurant,128.13
2023-08-15,Starbucks,restaurant,138.58
2023-08-18,Starbucks,restaurant,27.18
2023-08-19,Chick-fil-A,restaurant,9.47
2023-08-20,Trader Joes,grocery,156.68
2023-08-23,Red Lobster,restaurant,77.32
2023-08-23,Olive Garden,restaurant,119.64
2023-08-23,Subway,restaurant,10.12
2023-08-26,Starbucks,restaurant,98.32
2023-08-27,Safeway,grocery,115.07
2023-08-27,BP Gas,transportation,59.39
2023-08-27,Red Lobster,restaurant,139.73
2023-08-28,The Cheesecake Factory,restaurant,36.43
2023-08-28,Chipotle,restaurant,21.4
2023-08-31,Hilton,hotel,379.42
2023-08-31,Taco Bell,restaurant,15.92
2023-09-03,Safeway,grocery,97.71
2023-09-03,Starbucks,restaurant,128.63
2023-09-04,The Cheesecake Factory,restaurant,70.54
2023-09-06,Red Lobster,restaurant,85.32
2023-09-08,McDonald's,restaurant,138.66
2023-09-10,Walmart,grocery,154.3
2023-09-10,BP Gas,transportation,47.96
2023-09-11,Chick-fil-A,restaurant,93.28
2023-09-13,Starbucks,restaurant,40.62
2023-09-15,Chick-fil-A,restaurant,109.19
2023-09-17,Costco,grocery,149.53
2023-09-17,The Cheesecake Factory,restaurant,17.29
2023-09-23,The Cheesecake Factory,restaurant,88.28
2023-09-23,Olive Garden,restaurant,149.52
2023-09-23,Olive Garden,restaurant,133.04
2023-09-24,Whole Foods,grocery,126.07
2023-09-24,BP Gas,transportation,76.97
2023-09-25,Chick-fil-A,restaurant,146.03
2023-09-26,McDonald's,restaurant,57.11
2023-09-28,Chipotle,restaurant,99.2
2023-09-29,Taco Bell,restaurant,65.91
2023-10-01,Target,grocery,190.25
2023-10-02,Taco Bell,restaurant,112.56
2023-10-02,Taco Bell,restaurant,69.27
2023-10-06,Olive Garden,restaurant,28.12
2023-10-08,Costco,grocery,129.87
2023-10-08,76 Gas,transportation,60.28
2023-10-10,Subway,restaurant,121.09
2023-10-13,Amtrak,transportation,512.97
2023-10-13,The Cheesecake Factory,restaurant,30.09
2023-10-14,The Cheesecake Factory,restaurant,21.61
2023-10-14,Panera Bread,restaurant,115.71
2023-10-15,Target,grocery,217.26
2023-10-15,Subway,restaurant,118.9
2023-10-16,The Cheesecake Factory,restaurant,27.19
2023-10-18,Subway,restaurant,27.72
2023-10-20,Subway,restaurant,13.43
2023-10-22,Costco,grocery,104.27
2023-10-22,Metro Transit,transportation,44.47
2023-10-26,Panera Bread,restaurant,20.42
2023-10-27,Olive Garden,restaurant,39.91
2023-10-27,The Cheesecake Factory,restaurant,40.36
2023-10-29,Walmart,grocery,244.17
2023-10-29,Comfort Inn,hotel,176.21
2023-10-29,Taco Bell,restaurant,66.01
2023-10-30,Olive Garden,restaurant,25.18
2023-11-01,Chick-fil-A,restaurant,71.96
2023-11-04,Chipotle,restaurant,107.62
2023-11-05,Aldi,grocery,231.72
2023-11-05,Amtrak,transportation,56.29
2023-11-05,Chick-fil-A,restaurant,61.74
2023-11-05,Chipotle,restaurant,63.14
2023-11-06,Panera Bread,restaurant,92.27
2023-11-12,Kroger,grocery,241.45
2023-11-14,Panera Bread,restaurant,98.09
